12/1/2016,12:46:26;01, 48.47437,0;02, .00000725283,0;03, 14.64267,0;04, .3753972,0;
12/1/2016,12:46:27;01, 48.47437,0;02, .00000725283,0;03, 14.64267,0;04, .3753972,0;
12/1/2016,12:46:28;01, 48.48133,0;02, .000006932227,0;03, 14.58658,0;04, .3809136,0;
12/1/2016,12:46:29;01, 48.46741,0;02, .000007327373,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:46:30;01, 48.45351,0;02, .000008403033,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:46:31;01, 48.47437,0;02, .000006593784,0;03, 14.56788,0;04, .3809136,0;
12/1/2016,12:46:32;01, 48.47437,0;02, .000006593784,0;03, 14.56788,0;04, .3809136,0;
12/1/2016,12:46:33;01, 48.46741,0;02, .000007653879,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:46:34;01, 48.45351,0;02, .000006560155,0;03, 14.51178,0;04, .3753972,0;
12/1/2016,12:46:35;01, 48.46741,0;02, .000005441119,0;03, 14.62397,0;04, .3809136,0;
12/1/2016,12:46:36;01, 48.44655,0;02, .000006100408,0;03, 14.58658,0;04, .3809136,0;
12/1/2016,12:46:37;01, 48.44655,0;02, .000006100408,0;03, 14.58658,0;04, .3809136,0;
12/1/2016,12:46:38;01, 48.44655,0;02, .000006360247,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:46:39;01, 48.42568,0;02, .000008464314,0;03, 14.49308,0;04, .3809136,0;
12/1/2016,12:46:40;01, 48.4396,0;02, .000007734632,0;03, 14.54918,0;04, .3809136,0;
12/1/2016,12:46:41;01, 48.43265,0;02, .000007728393,0;03, 14.47438,0;04, .3809136,0;
12/1/2016,12:46:42;01, 48.43265,0;02, .000007728393,0;03, 14.47438,0;04, .3809136,0;
12/1/2016,12:46:43;01, 48.4396,0;02, .000006911737,0;03, 14.77357,0;04, .3753972,0;
12/1/2016,12:46:44;01, 48.41178,0;02, .000006535488,0;03, 14.62397,0;04, .3753972,0;
12/1/2016,12:46:45;01, 48.43265,0;02, .0000064049,0;03, 14.58658,0;04, .3698808,0;
12/1/2016,12:46:46;01, 48.41178,0;02, .000006895017,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:46:47;01, 48.41178,0;02, .000006895017,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:46:48;01, 48.43265,0;02, .000008195341,0;03, 14.62397,0;04, .3698808,0;
12/1/2016,12:46:49;01, 48.41872,0;02, .000007142423,0;03, 14.51178,0;04, .3698808,0;
12/1/2016,12:46:50;01, 48.43265,0;02, .000007388763,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:46:51;01, 48.41178,0;02, .0000069453,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:46:52;01, 48.41178,0;02, .0000069453,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:46:53;01, 48.43265,0;02, .000006158135,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:46:54;01, 48.43265,0;02, .000006158135,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:46:55;01, 48.42568,0;02, .000005914504,0;03, 14.53048,0;04, .3698808,0;
12/1/2016,12:46:56;01, 48.41178,0;02, .000009163661,0;03, 14.62397,0;04, .3698808,0;
12/1/2016,12:46:57;01, 48.41178,0;02, .000009163661,0;03, 14.62397,0;04, .3698808,0;
12/1/2016,12:46:58;01, 48.40482,0;02, .000008197547,0;03, 15.03536,0;04, .3753972,0;
12/1/2016,12:46:59;01, 48.40482,0;02, .000008197547,0;03, 15.03536,0;04, .3753972,0;
12/1/2016,12:47:00;01, 48.40482,0;02, .000008427945,0;03, 14.99796,0;04, .3698808,0;
12/1/2016,12:47:01;01, 48.40482,0;02, .000005417739,0;03, 15.48415,0;04, .3698808,0;
12/1/2016,12:47:02;01, 48.40482,0;02, .000005417739,0;03, 15.48415,0;04, .3698808,0;
12/1/2016,12:47:03;01, 48.38396,0;02, .0000102823,0;03, 14.51178,0;04, .3698808,0;
12/1/2016,12:47:04;01, 48.38396,0;02, .0000102823,0;03, 14.51178,0;04, .3698808,0;
12/1/2016,12:47:05;01, 48.37004,0;02, .000008064078,0;03, 14.79227,0;04, .3698808,0;
12/1/2016,12:47:06;01, 48.38396,0;02, .000006322704,0;03, 15.52155,0;04, .3753972,0;
12/1/2016,12:47:07;01, 48.38396,0;02, .000006322704,0;03, 15.52155,0;04, .3753972,0;
12/1/2016,12:47:08;01, 48.39091,0;02, .0000111859,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:47:09;01, 48.39091,0;02, .0000111859,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:47:10;01, 48.37004,0;02, .00000771177,0;03, 14.49308,0;04, .3698808,0;
12/1/2016,12:47:11;01, 48.38396,0;02, .000009615876,0;03, 14.43698,0;04, .3698808,0;
12/1/2016,12:47:12;01, 48.38396,0;02, .000009615876,0;03, 14.43698,0;04, .3698808,0;
12/1/2016,12:47:13;01, 48.37004,0;02, .000009838373,0;03, 14.77357,0;04, .3753972,0;
12/1/2016,12:47:14;01, 48.37004,0;02, .000009838373,0;03, 14.77357,0;04, .3753972,0;
12/1/2016,12:47:15;01, 48.38396,0;02, .000009163661,0;03, 14.62397,0;04, .3698808,0;
12/1/2016,12:47:16;01, 48.38396,0;02, .000008997495,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:47:17;01, 48.38396,0;02, .000008997495,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:47:18;01, 48.377,0;02, .000007738794,0;03, 14.49308,0;04, .3698808,0;
12/1/2016,12:47:19;01, 48.377,0;02, .000007738794,0;03, 14.49308,0;04, .3698808,0;
12/1/2016,12:47:20;01, 48.37004,0;02, .000007691046,0;03, 14.43698,0;04, .3643645,0;
12/1/2016,12:47:21;01, 48.377,0;02, .000009649582,0;03, 14.51178,0;04, .3643645,0;
12/1/2016,12:47:22;01, 48.377,0;02, .000009649582,0;03, 14.51178,0;04, .3643645,0;
12/1/2016,12:47:23;01, 48.39787,0;02, .000009623649,0;03, 14.54918,0;04, .3698808,0;
12/1/2016,12:47:24;01, 48.39787,0;02, .000009623649,0;03, 14.54918,0;04, .3698808,0;
12/1/2016,12:47:25;01, 48.37004,0;02, .000008405294,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:47:26;01, 48.377,0;02, .000007849968,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:47:27;01, 48.377,0;02, .000007849968,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:47:28;01, 48.37004,0;02, .000007037491,0;03, 14.82967,0;04, .3753972,0;
12/1/2016,12:47:29;01, 48.37004,0;02, .000007037491,0;03, 14.82967,0;04, .3753972,0;
12/1/2016,12:47:30;01, 48.34919,0;02, .000008489407,0;03, 15.16626,0;04, .3753972,0;
12/1/2016,12:47:31;01, 48.34223,0;02, .00001024638,0;03, 14.62397,0;04, .3753972,0;
12/1/2016,12:47:32;01, 48.34223,0;02, .00001024638,0;03, 14.62397,0;04, .3753972,0;
12/1/2016,12:47:33;01, 48.33526,0;02, .000006276928,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:47:34;01, 48.33526,0;02, .000006276928,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:47:35;01, 48.34919,0;02, .000009205683,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:47:36;01, 48.34223,0;02, .000006365382,0;03, 14.60528,0;04, .3753972,0;
12/1/2016,12:47:37;01, 48.34223,0;02, .000006365382,0;03, 14.60528,0;04, .3753972,0;
12/1/2016,12:47:38;01, 48.32832,0;02, .000009129196,0;03, 14.92317,0;04, .3698808,0;
12/1/2016,12:47:39;01, 48.32832,0;02, .000009129196,0;03, 14.92317,0;04, .3698808,0;
12/1/2016,12:47:40;01, 48.32832,0;02, .000008711579,0;03, 14.58658,0;04, .3698808,0;
12/1/2016,12:47:41;01, 48.32136,0;02, .000007208072,0;03, 14.58658,0;04, .3698808,0;
12/1/2016,12:47:42;01, 48.32136,0;02, .000007208072,0;03, 14.58658,0;04, .3698808,0;
12/1/2016,12:47:43;01, 48.32136,0;02, .000005479319,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:47:44;01, 48.32136,0;02, .000005479319,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:47:45;01, 48.32136,0;02, .000006208053,0;03, 14.54918,0;04, .3753972,0;
12/1/2016,12:47:46;01, 48.32136,0;02, .000005514827,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:47:47;01, 48.32136,0;02, .000005514827,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:47:48;01, 48.3144,0;02, .000007986336,0;03, 14.60528,0;04, .3753972,0;
12/1/2016,12:47:49;01, 48.3144,0;02, .000007986336,0;03, 14.60528,0;04, .3753972,0;
